pidp,sclfsato,age_dv,fimnnet_dv,nchild_dv,hiqual_dv,hhsize,ever_married,log_income,sex_female,occ_2.0,occ_3.0
1183159306,4.0,52.0,624.0,1,4.0,4.0,0,6.437751649736401,1,False,True
1183186466,5.0,51.0,9506.2900390625,1,,,0,9.159814155841763,0,False,False
1183200066,4.0,40.0,1081.80004882813,2,3.0,5.0,0,6.987305602834465,1,False,True
1183206866,6.0,37.0,850.0,3,4.0,5.0,0,6.7464121285733745,1,False,False
1183274866,4.0,56.0,3033.330078125,0,1.0,1.0,1,8.017745947044666,0,True,False
1183336066,6.0,45.0,2627.89990234375,1,1.0,4.0,0,7.874320749582723,1,False,False
1183336106,5.0,47.0,2500.0,1,2.0,4.0,0,7.824445930877619,0,False,True
1183376906,3.0,33.0,3170.5,0,4.0,2.0,0,8.061959941073951,1,False,True
1183390466,1.0,44.0,0.0,0,3.0,2.0,0,0.0,0,False,False
1183390506,6.0,34.0,1400.0,0,3.0,2.0,0,7.244941546337007,1,False,True
1183397266,3.0,49.0,644.5,0,3.0,2.0,0,6.470025210286697,0,False,False
1183397306,4.0,47.0,450.0,0,3.0,2.0,0,6.111467339502679,1,False,False
1183404066,6.0,42.0,1458.90002441406,2,3.0,4.0,0,7.286123235929038,1,True,False
1183431266,2.0,29.0,634.0,0,,1.0,1,6.453624998892692,1,False,False
1183465266,3.0,51.0,1950.0,1,,3.0,0,7.576097340623111,1,False,True
1183465306,6.0,50.0,1319.0,1,,3.0,0,7.1853870155804165,0,False,True
1183553666,6.0,27.0,241.800003051758,1,2.0,2.0,1,5.492238071754363,1,False,False
1183567266,4.0,31.0,2076.830078125,3,4.0,4.0,1,7.639079396479774,1,False,False
1183587666,6.0,45.0,2981.669921875,1,3.0,4.0,0,8.000574125316483,1,False,False
1183587706,2.0,51.0,2100.0,1,1.0,4.0,0,7.650168700845001,0,False,False
1183635266,6.0,56.0,2302.0,0,2.0,2.0,0,7.741967899820685,1,False,False
1183642066,4.0,25.0,1982.0,0,3.0,1.0,1,7.592366128519796,0,False,True
1183669266,1.0,37.0,301.25,2,9.0,3.0,1,5.711254489494902,0,False,False
1183682946,6.0,44.0,2863.330078125,0,,4.0,0,7.960089772181649,1,False,False
1183682986,5.0,47.0,4481.1201171875,0,4.0,4.0,0,8.407851453909727,0,False,False
1183696466,5.0,60.0,2325.32006835938,1,1.0,3.0,0,7.752042928237662,0,True,False
1183791666,3.0,43.0,3049.669921875,0,1.0,1.0,1,8.023116491999087,1,True,False
1183798466,5.0,58.0,2422.0,0,1.0,2.0,0,7.792761720816526,0,False,False
1183812066,5.0,45.0,2266.330078125,0,2.0,2.0,0,7.726358241198941,1,False,False
1183825666,6.0,34.0,0.0,0,1.0,2.0,0,0.0,0,False,False
1183825706,4.0,38.0,4200.0,0,,2.0,0,8.343077871169383,1,False,False
1183866466,7.0,35.0,1317.33996582031,0,4.0,1.0,1,7.184128622484562,0,False,False
1183920906,6.0,59.0,3262.330078125,0,2.0,4.0,0,8.090503449345734,1,True,False
1183948066,7.0,61.0,1700.0,0,3.0,1.0,1,7.438971592395862,1,False,False
1184009266,6.0,57.0,2002.67004394531,0,1.0,2.0,1,7.60273579991878,1,False,False
1184124866,5.0,45.0,1530.42004394531,0,3.0,4.0,0,7.333950717234683,1,True,False
1184254066,6.0,40.0,3497.53002929688,3,1.0,5.0,0,8.160098167626856,1,False,False
1184254106,6.0,41.0,7083.33984375,3,1.0,5.0,0,8.865641971178066,0,False,False
1184274466,6.0,54.0,650.0,0,1.0,4.0,0,6.478509642208569,1,True,False
1184274546,4.0,25.0,2887.31005859375,0,1.0,4.0,1,7.968426855258852,0,False,False
1184390066,6.0,44.0,500.0,0,3.0,3.0,0,6.2166061010848646,1,False,False
1184437666,6.0,54.0,3333.330078125,1,1.0,3.0,0,8.112027062046975,1,False,False
1184539666,6.0,51.0,502.079986572266,1,4.0,,0,6.220749176487903,1,True,False
1184546506,6.0,62.0,4315.330078125,0,1.0,3.0,0,8.370160801239892,1,True,False
1184553266,5.0,55.0,1725.0,0,2.0,3.0,0,7.453561871643373,1,True,False
1184573666,6.0,46.0,1721.80004882813,2,,5.0,0,7.4517061815222645,1,True,False
1184573706,6.0,48.0,841.669982910156,2,,5.0,0,6.7365754020064275,0,True,False
1184621266,3.0,44.0,2254.4599609375,0,4.0,1.0,1,7.7211092049451535,0,True,False
1184709666,6.0,38.0,2200.0,0,,2.0,0,7.696667081526462,1,False,False
1184859266,3.0,43.0,1950.0,0,5.0,2.0,0,7.576097340623111,0,False,False
1184872866,5.0,28.0,2397.89990234375,2,3.0,3.0,1,7.782765537227113,1,False,True
1184900066,3.0,55.0,2130.9599609375,1,,3.0,0,7.664797005061311,0,False,True
1184900106,5.0,50.0,1701.80004882813,1,,3.0,0,7.440029262629197,1,False,True
1184920466,5.0,34.0,1011.0,1,1.0,3.0,0,6.919683849847411,1,False,True
1184920506,3.0,46.0,5559.240234375,1,1.0,3.0,0,8.62339659393261,0,False,False
1185124466,6.0,58.0,3680.080078125,0,1.0,4.0,0,8.210961487590916,0,False,False
1185131266,2.0,33.0,447.670013427734,0,1.0,3.0,1,6.106287680857332,1,False,False
1185178866,4.0,49.0,2184.0,0,3.0,1.0,1,7.68937110752969,1,False,True
